,clean_text
6512,<mark>5 billionworth of property here has been bought by Russian oligarchs accused of corruption with links to the Kremlin</mark>
6513,<mark> Given the almost £2 million received in Russialinked donations by the Tory party since the current Prime Minister entered No</mark>
6514,"<mark>I rise to speak to the amendments in my name new clause 5 and, in particular, amendment 4, which is supported by the crossparty group that has been trying to get our ducks in a row</mark>"
6515,<mark> I heard what the Minister said about Economic Crime Bill 2</mark>
6516,"<mark> It sounds like the promise of the good sequel after the filmit is coming and it will be even bigger and better, with bigger stars than the first onebut we all know how sometimes part 2 can be a flop</mark>"
6517,<mark> I sincerely hope that part 2 will come sooner</mark>
6518,<mark> I wonder whether we might want to try to do that with part 2 and part 3 and get the sequels out as quickly as possible because each one will be pretty meaty and need time</mark>
6519,<mark> I hope that Economic Crime Bill 2 will have all the necessary powers to clamp down on that activity</mark>
6520,<mark> Many of them own companies that potentially employ thousands of people in this country</mark>
6521,"<mark> We have all seen the reckless assault on nuclear facilities and the apparent use of cluster bombs and indiscriminate weaponry in civilian areas, but we have also all seen the incredible bravery and patriotism of the Ukrainian people, with hundreds of thousands of volunteers from all walks of life picking up arms and fighting and dying for their country</mark>"
6522,"<mark> I understand why getting directly involved in this conflict could lead to much wider suffering and conflict, but because we are letting others fight and die on our behalf, it is incumbent on us to do everything else we possibly can to help them</mark>"
6523,"<mark> It was the Labour party that introduced the tier 1 visa, which seems to have been one of the ways in which this country has been exploited</mark>"
6524,<mark>  Representatives of Americas justice system suggest that billions of poundsworth of properties are hidden in New York limited liability companies</mark>
6525,"<mark> Whether it was behind closed doors, or in plain sight when they proceeded with the plans for Nord Stream 2, we know that ultimately that money and those projects date back to a corrupt, criminal regime that stole its funding from the Russian people</mark>"
6526,<mark> It is very important that this is included in part 2 of the Bill</mark>
6527,<mark>1 Section 11 of the 2018 Act designation of a person by name under a designation power is amended in accordance with subsections 2 to 6</mark>
6528,<mark>1 Section 12 of the 2018 Act designation by persons by description under a designation power is amended in accordance with subsections 2 to 9</mark>
6529,<mark> It is substantially the same as NC40 but refers in subsection 2 to Part 3 of the Sanctions and AntiMoney Laundering Act 2018 as well as to Part 1</mark>
6530,<mark> This new clause would therefore allow an appropriate Minister to make consequential amendments to Parts 1 and 3 of the 2018 Act and regulations made under Part 1 of that Act; and amendments to Parts 1 and 3 would be subject to the affirmative resolution procedure whereas in NC40 only amendments to Part 1 would be subject to that procedure and amendments to Part 3 would be subject to negative resolution</mark>
6531,"<mark> What we should be looking for is provisions that match the rights acquired under article 1 of the first protocolnamely, rights to propertyand clearly, there need to be qualifications on that in circumstances such as these</mark>"
6532,<mark> Members new clauses 2 and 3</mark>
6533,"<mark> New clause 2 would bring long overdue scrutiny of that significant weakness, and renewed support for our enforcement agencies</mark>"
6534,"<mark> That is why we will also be supporting new clause 3, as well as amendment 41, tabled by my SNP colleagues, in order to curb the ability of shell companies and other indirect ownership instruments, as well as their paid  London enablers, to obfuscate ownership structures for their clients</mark>"
6535,"<mark> Those measures, along with new clauses 4 and 9, will tighten the massive loophole that prevents us from having a properly resourced, properly empowered and properly directed Companies House</mark>"
6536,<mark> The Government are doing something in this Bill to try to improve the equality of arms between Government lawyers and the multimillionpoundsayear lawyers on the other side</mark>
6537,"<mark> If nominees are directed by someone elsesay, the beneficial ownerthe person doing the directing is caught by condition 4 in paragraph 6 of schedule 2 and is therefore a registerable beneficial owner</mark>"
